,mcc-name
251,8050-Nursing and Personal Care Facilities
252,8062-Hospitals
253,8071-Medical and Dental Laboratories
254,8099-Medical Services and Health Practitioners (Not Elsewhere
255,8111-Legal Services and Attorneys
256,8211-Elementary and Secondary Schools
257,"8220-Colleges, Junior Colleges, Universities, and Professional Schools"
258,8241-Correspondence Schools
259,8244-Business and Secretarial Schools
260,8249-Vocational Schools and Trade Schools
261,8299-Schools and Educational Services ( Not Elsewhere Classified
262,8351-Child Care Services
263,8398-Charitable and Social Service Organizations
264,"8641-Civic, Fraternal, and Social Associations"
265,8651-Political Organizations
266,8661-Religious Organizations
267,8675-Automobile Associations
268,8699-Membership Organizations ( Not Elsewhere Classified)
269,8734-Testing Laboratories ( non-medical)
270,8911-Architectural – Engineering and Surveying Services
271,"8931-Accounting, Auditing, and Bookkeeping Services"
272,8999-Professional Services ( Not Elsewhere Defined)
273,"9211-Court Costs, including Alimony and Child Support"
274,9222-Fines
275,9223-Bail and Bond Payments
276,9311-Tax Payments
277,9399-Government Services ( Not Elsewhere Classified)
278,9402-Postal Services – Government Only
279,9950-Intra – Company Purchases ( For Visa Only)
